eval,fitness,prey_move_cost,pred_move_cost,pred_bite_reward,pred_digest_time,pred_repro_thresh,prey_cooldown,pred_cooldown,parent_energy_split,spawn_offset,heading_jitter,pred_density_k,newborn_hunt_cooldown,refugia_strength,part_spawn_rate,part_initial_mass,part_deposit_rate,part_pickup_rate,part_cell_capacity,detritus_fraction,carcass_fraction,detritus_decay_rate,detritus_decay_eff,grazing_diet_cap,hunting_diet_floor,prey_density_k
1,-23368.958365,0.050000,0.080000,0.800000,0.303351,0.950000,4.000000,20.000000,0.400000,30.000000,1.000000,113.622324,0.500000,1.500000,34.616664,0.002000,5.000000,0.100000,2.000000,0.000000,0.537819,0.010000,0.300000,0.150000,0.850000,50.000000
2,-18754.082474,0.250000,0.010000,0.413219,3.000000,0.950000,19.719628,10.847126,0.400000,5.000000,0.432179,600.000000,5.000000,1.500000,300.000000,0.050000,5.000000,3.000000,0.460089,0.018252,0.300000,0.010000,0.800000,0.500000,0.512385,50.000000
3,-14575.788023,0.189527,0.010000,0.400000,0.200000,0.500000,7.247573,6.000000,0.400000,30.000000,0.340378,352.996197,3.431839,1.500000,300.000000,0.042860,1.676818,0.100000,1.080999,0.300000,0.900000,0.010000,0.800000,0.500000,0.500000,500.000000
4,-19507.114834,0.154391,0.074648,0.800000,0.200000,0.950000,5.323348,9.590567,0.486185,30.000000,1.000000,10.000000,0.500000,0.500000,235.114673,0.002000,5.000000,0.100000,1.366096,0.000000,0.885547,0.010000,0.300000,0.150000,0.504157,227.678595
5,-19019.123077,0.250000,0.023046,0.779666,2.451772,0.950000,5.408319,6.000000,0.700000,21.132394,1.000000,291.769920,5.000000,0.572102,20.000000,0.050000,0.500000,0.100000,1.329171,0.000000,0.900000,0.048477,0.406039,0.500000,0.500000,120.136143
6,-16873.546366,0.092643,0.080000,0.800000,0.200000,0.590203,20.000000,20.000000,0.400000,5.000000,0.000000,10.000000,0.500000,1.500000,20.000000,0.032078,0.928669,0.867949,1.164361,0.300000,0.900000,0.034223,0.800000,0.377106,0.695969,104.930454
7,-14537.301766,0.050000,0.071608,0.800000,1.608156,0.950000,4.981746,14.387932,0.400000,14.900838,0.000000,600.000000,0.500000,0.500000,300.000000,0.002000,5.000000,3.000000,2.000000,0.274273,0.438012,0.010000,0.800000,0.150000,0.500000,50.000000
8,-19010.981356,0.250000,0.039208,0.800000,3.000000,0.950000,7.069744,18.827597,0.700000,30.000000,0.549951,501.952371,0.500000,1.500000,20.000000,0.050000,0.500000,3.000000,0.300000,0.245840,0.900000,0.200000,0.300000,0.335695,0.850000,50.000000
9,-16605.832591,0.250000,0.010000,0.646179,0.200000,0.607881,15.137909,11.286719,0.700000,24.122197,0.522052,10.000000,0.500000,1.213456,20.000000,0.033295,0.500000,2.053771,0.300000,0.244936,0.300000,0.106258,0.300000,0.150000,0.850000,500.000000
10,-18405.389577,0.050000,0.010000,0.800000,3.000000,0.652639,4.000000,20.000000,0.700000,21.281440,0.000000,68.500537,5.000000,0.500000,20.000000,0.002000,0.500000,0.525062,0.300000,0.300000,0.300000,0.136719,0.800000,0.348348,0.850000,50.000000
11,-20057.840351,0.132913,0.080000,0.633779,0.718243,0.950000,15.956488,6.000000,0.468178,5.000000,0.799736,20.700332,0.500000,1.119414,300.000000,0.050000,0.500000,0.100000,1.336098,0.000000,0.900000,0.187602,0.800000,0.150000,0.501900,50.000000
12,-25036.802682,0.250000,0.010000,0.400000,0.870846,0.950000,4.000000,12.350941,0.700000,5.000000,0.000000,10.000000,0.500000,1.057065,20.000000,0.050000,1.640056,2.106815,0.300000,0.000000,0.660621,0.010000,0.300000,0.490844,0.850000,500.000000
13,-19051.062472,0.050000,0.042694,0.400000,0.200000,0.521071,5.772061,20.000000,0.646692,24.709618,0.742904,590.092183,5.000000,1.155461,20.000000,0.002000,5.000000,0.100000,1.048525,0.076015,0.680995,0.200000,0.469628,0.150000,0.500000,83.842412
14,-19255.549121,0.154913,0.059743,0.800000,2.101300,0.814206,5.393593,10.880637,0.676747,5.000000,0.479466,10.000000,5.000000,0.500000,300.000000,0.050000,5.000000,0.438724,1.240895,0.000000,0.532454,0.010000,0.300000,0.364308,0.817477,50.000000
15,-15527.918638,0.050000,0.010000,0.400000,3.000000,0.500000,20.000000,20.000000,0.599266,30.000000,0.000000,10.000000,5.000000,1.500000,20.000000,0.002000,0.500000,0.100000,1.104099,0.300000,0.493957,0.039309,0.300000,0.150000,0.756571,500.000000
16,-19043.742060,0.050000,0.029423,0.407206,0.522051,0.950000,20.000000,19.694215,0.400000,22.759213,0.809259,600.000000,5.000000,0.500000,60.757655,0.002000,1.926030,0.100000,0.300000,0.250981,0.300000,0.200000,0.300000,0.371570,0.500000,199.001206
17,-7156.861859,0.250000,0.010000,0.623578,1.603150,0.519223,6.762690,16.816072,0.501252,27.150071,1.000000,440.167293,0.500000,0.500000,249.770889,0.002000,0.500000,1.808716,0.300000,0.221769,0.471133,0.200000,0.800000,0.500000,0.500000,247.261998
18,-16455.174694,0.050000,0.010000,0.400000,0.200000,0.500000,4.517433,20.000000,0.584559,15.330427,0.224881,96.013013,0.500000,0.919563,119.311477,0.047664,1.922157,0.888011,0.300000,0.000000,0.329273,0.010000,0.800000,0.500000,0.711925,500.000000
19,-16518.522903,0.250000,0.010000,0.620916,0.200000,0.950000,4.000000,6.000000,0.400000,30.000000,0.000000,106.020875,5.000000,1.500000,20.000000,0.050000,3.832917,0.100000,1.719340,0.000000,0.416210,0.200000,0.585800,0.150000,0.850000,50.000000
20,-17876.136087,0.140110,0.051167,0.532618,3.000000,0.500000,4.000000,17.935251,0.700000,30.000000,0.000000,10.000000,0.500000,0.500000,20.000000,0.011104,3.855339,2.040921,2.000000,0.000000,0.900000,0.200000,0.800000,0.150000,0.850000,50.000000
21,-22590.252425,0.050000,0.010000,0.400000,3.000000,0.897869,18.324980,19.587262,0.462713,30.000000,0.000000,153.938251,0.909571,0.500000,20.000000,0.002000,5.000000,0.100000,0.300000,0.058656,0.300000,0.010000,0.682859,0.192033,0.656239,50.000000
22,-22378.317384,0.202475,0.010000,0.400000,2.199130,0.817731,20.000000,11.531734,0.699886,5.000000,0.000000,353.679309,3.951888,0.500000,300.000000,0.019294,3.404954,0.582324,1.775284,0.300000,0.852691,0.010000,0.569910,0.450973,0.798184,50.000000
23,-23066.584541,0.155641,0.034883,0.744679,1.182897,0.950000,20.000000,14.576577,0.559121,30.000000,0.008562,547.334097,0.500000,1.358861,43.032461,0.034244,5.000000,1.320964,0.300000,0.106531,0.537460,0.010000,0.800000,0.403535,0.662395,182.814813
24,-21034.795260,0.155698,0.048746,0.713098,1.071343,0.950000,4.000000,6.000000,0.417356,5.316434,0.139765,600.000000,0.500000,0.676888,300.000000,0.003834,5.000000,0.100000,1.907791,0.300000,0.721459,0.200000,0.583214,0.184186,0.500000,500.000000
25,-20690.739180,0.137634,0.080000,0.400000,1.036048,0.920876,20.000000,20.000000,0.400000,5.000000,0.082334,10.000000,0.500000,0.831715,300.000000,0.047995,1.797231,0.617511,0.653041,0.000000,0.741995,0.103434,0.300000,0.500000,0.850000,50.000000
26,-16993.449681,0.050000,0.017688,0.800000,0.726211,0.950000,4.000000,12.207337,0.410698,30.000000,0.228130,10.000000,0.500000,0.986506,88.144743,0.008885,0.500000,0.258577,0.710594,0.300000,0.630627,0.090996,0.800000,0.346084,0.500000,375.876033
27,-9597.400274,0.202933,0.058926,0.400000,0.200000,0.950000,12.529463,20.000000,0.700000,26.102093,0.889221,329.652822,3.541587,0.500000,135.866992,0.050000,0.500000,1.734781,0.300000,0.300000,0.900000,0.010000,0.456983,0.150000,0.782925,50.000000
28,-18707.707019,0.129847,0.010000,0.400000,0.200000,0.950000,4.000000,13.990489,0.700000,30.000000,1.000000,10.000000,0.500000,1.500000,181.078642,0.041811,3.526076,3.000000,2.000000,0.202989,0.859239,0.010000,0.344098,0.180428,0.597899,50.000000
29,-23363.367535,0.250000,0.024326,0.506531,1.276834,0.950000,17.319121,6.000000,0.565132,5.000000,0.554228,600.000000,5.000000,0.500000,300.000000,0.002000,4.489084,0.100000,1.347296,0.300000,0.900000,0.011367,0.800000,0.156401,0.684583,500.000000
30,-15836.243382,0.050000,0.046284,0.542394,0.200000,0.500000,4.306400,14.323626,0.690892,30.000000,0.000000,10.000000,5.000000,0.968106,300.000000,0.048655,0.500000,0.100000,1.423541,0.300000,0.300000,0.010000,0.505972,0.500000,0.850000,50.000000
31,-11684.714135,0.250000,0.017254,0.654295,0.200000,0.950000,4.662439,6.000000,0.414379,5.000000,0.000000,257.994970,0.500000,0.500000,266.594007,0.050000,0.846019,1.572464,2.000000,0.066217,0.666667,0.010000,0.616721,0.500000,0.500000,292.955875
32,-13141.187822,0.140443,0.010000,0.474519,0.200000,0.500000,4.000000,19.014359,0.581225,5.000000,1.000000,10.000000,0.500000,0.500000,300.000000,0.015465,1.236500,1.346986,2.000000,0.000000,0.900000,0.010000,0.800000,0.500000,0.850000,403.320822
33,-17328.405301,0.146958,0.049025,0.768433,0.200000,0.610804,4.000000,8.973938,0.700000,5.000000,0.000000,10.000000,3.415540,0.500000,20.000000,0.002000,0.817939,3.000000,2.000000,0.202928,0.831577,0.061899,0.300000,0.161812,0.641011,412.799695
34,-24443.473557,0.050000,0.080000,0.800000,0.200000,0.892806,20.000000,6.000000,0.700000,5.000000,0.603377,371.903402,5.000000,0.735021,300.000000,0.002000,5.000000,1.045682,1.730019,0.245055,0.900000,0.010000,0.300000,0.168388,0.628703,203.801100
35,-16438.140666,0.250000,0.080000,0.400000,3.000000,0.797140,11.040697,6.000000,0.408732,29.284908,0.000000,10.000000,4.565149,0.500000,76.681640,0.002000,0.996932,0.100000,2.000000,0.116923,0.900000,0.010000,0.657831,0.455378,0.850000,500.000000
36,-17818.415975,0.250000,0.010000,0.400000,3.000000,0.500000,13.130372,6.000000,0.700000,8.482381,0.779723,10.000000,4.943182,1.500000,20.000000,0.050000,5.000000,0.100000,2.000000,0.300000,0.300000,0.055254,0.800000,0.500000,0.537465,500.000000
37,-16792.482755,0.050000,0.014427,0.732565,0.200000,0.950000,13.457837,12.712603,0.400000,5.000000,1.000000,10.000000,3.833782,1.500000,20.000000,0.039638,0.500000,3.000000,2.000000,0.007999,0.900000,0.200000,0.800000,0.500000,0.500000,500.000000
38,-15354.892460,0.194899,0.010000,0.541247,3.000000,0.500000,20.000000,6.000000,0.618569,30.000000,0.736118,10.000000,0.500000,0.500000,300.000000,0.050000,0.500000,0.100000,2.000000,0.182539,0.300000,0.200000,0.332875,0.500000,0.789241,470.956006
39,-15522.906023,0.131064,0.080000,0.667819,0.200000,0.905893,4.000000,20.000000,0.400000,6.584013,0.813420,10.866683,3.610927,1.396973,234.891158,0.002000,5.000000,2.539015,1.281983,0.300000,0.364932,0.010000,0.626536,0.448057,0.771488,50.000000
40,-12861.105381,0.110141,0.010000,0.800000,0.200000,0.750127,18.130956,20.000000,0.400000,30.000000,0.000000,600.000000,5.000000,1.500000,300.000000,0.011749,0.500000,0.100000,0.687214,0.099765,0.900000,0.083334,0.300000,0.150000,0.656465,113.968741
41,-17192.743024,0.143192,0.065750,0.400000,1.580985,0.950000,4.000000,6.000000,0.700000,22.738451,1.000000,10.000000,0.500000,1.500000,231.808988,0.050000,4.629328,1.001058,2.000000,0.000000,0.529756,0.010000,0.757294,0.304353,0.850000,500.000000
42,-15075.046677,0.250000,0.070215,0.400000,2.937199,0.747634,8.743521,6.000000,0.574610,30.000000,0.978563,178.432231,0.500000,0.788292,82.750019,0.002000,1.738850,0.100000,2.000000,0.000000,0.764172,0.010000,0.518209,0.150000,0.581263,50.000000
43,-24070.001630,0.050000,0.066012,0.544203,3.000000,0.950000,4.000000,6.000000,0.700000,5.000000,0.340955,10.000000,0.500000,0.500000,20.000000,0.002000,4.913387,0.100000,0.300000,0.087005,0.900000,0.010000,0.558097,0.150000,0.500000,50.000000
44,-23041.641995,0.250000,0.080000,0.800000,0.200000,0.950000,20.000000,20.000000,0.700000,17.566248,1.000000,531.697462,0.500000,1.500000,300.000000,0.022654,2.550171,1.045073,0.300000,0.000000,0.900000,0.010000,0.300000,0.500000,0.500000,108.820781
45,-30712.827261,0.050000,0.080000,0.800000,2.156958,0.950000,17.388683,7.932893,0.700000,5.000000,0.934628,600.000000,0.851972,1.500000,20.000000,0.002000,5.000000,0.100000,0.300000,0.000000,0.900000,0.010000,0.558734,0.500000,0.500000,369.073200
46,-7340.250151,0.210410,0.076085,0.800000,2.030935,0.905720,20.000000,20.000000,0.572848,5.000000,0.000000,600.000000,0.500000,1.239034,300.000000,0.002000,0.500000,2.019870,0.854037,0.000000,0.709632,0.010000,0.693501,0.342016,0.820528,50.000000
