eval,fitness,prey_base_cost,prey_move_cost,prey_forage_rate,pred_base_cost,pred_move_cost,pred_bite_reward,pred_transfer_eff,prey_repro_thresh,pred_repro_thresh,prey_cooldown,pred_cooldown,max_prey,max_pred,pot_scale,pot_octaves,pot_lacunarity,pot_gain,pot_contrast,refugia_strength,part_spawn_rate,part_initial_mass,part_deposit_rate,part_pickup_rate,part_cell_capacity,part_flow_strength,part_flow_scale,part_flow_octaves,part_flow_evolution
1,61.161934,0.050000,0.250000,0.100000,0.020000,0.010000,0.488189,1.000000,0.950000,0.950000,15.000000,6.000000,200.000000,40.000000,3.996873,7.000000,3.007009,0.900000,3.280782,1.000000,20.000000,0.002000,3.301305,0.100000,1.635853,100.000000,4.679685,4.000000,0.100000
2,60.296055,0.005000,0.195687,0.020000,0.002000,0.010000,0.800000,0.600000,0.950000,0.700000,9.886726,11.050421,329.361376,198.381461,5.135517,7.000000,1.500000,0.900000,5.847640,0.248106,20.000000,0.050000,0.500000,2.000000,0.811780,10.000000,0.500000,1.000000,0.027453
3,61.160871,0.005000,0.250000,0.100000,0.002000,0.080000,0.542298,1.000000,0.842437,0.921006,8.415485,14.256980,425.144956,40.000000,8.000000,2.000000,4.000000,0.616093,3.636433,1.000000,20.000000,0.040884,0.500000,0.100000,2.000000,100.000000,1.413177,1.000000,0.024469
4,58.564257,0.005000,0.112255,0.070964,0.020000,0.010000,0.200000,0.850304,0.748548,0.915672,4.000000,15.631661,600.000000,97.484274,7.741687,3.282318,4.000000,0.300000,6.000000,0.525015,300.000000,0.050000,0.500000,2.000000,0.300000,100.000000,5.000000,1.000000,0.005000
5,58.098629,0.005000,0.250000,0.024963,0.002000,0.080000,0.200000,0.600000,0.700000,0.773748,4.000000,20.000000,202.054426,40.000000,3.118484,6.124218,1.500000,0.900000,4.725879,0.085353,20.000000,0.050000,0.500000,0.100000,2.000000,87.654270,0.884579,4.000000,0.005000
6,61.328893,0.049702,0.226257,0.037713,0.002000,0.080000,0.200000,0.792769,0.950000,0.852263,11.620510,20.000000,600.000000,200.000000,2.000000,2.000000,1.500000,0.900000,1.962846,0.000000,300.000000,0.025264,0.500000,1.613166,0.522225,10.000000,3.388855,4.000000,0.100000
7,60.297645,0.005000,0.050000,0.020000,0.018187,0.058959,0.800000,0.985180,0.950000,0.700000,15.000000,19.533712,600.000000,200.000000,2.000000,7.000000,2.302813,0.300000,6.000000,1.000000,159.682243,0.041551,0.500000,2.000000,0.300000,100.000000,0.500000,2.595943,0.005000
8,58.501257,0.024232,0.050000,0.100000,0.019854,0.080000,0.200000,0.910171,0.715602,0.839843,4.096696,6.000000,600.000000,40.000000,8.000000,2.000000,4.000000,0.900000,5.328035,0.000000,165.862575,0.002000,0.500000,1.556491,2.000000,10.000000,5.000000,1.000000,0.100000
9,57.152384,0.037266,0.199968,0.052703,0.002000,0.075867,0.800000,0.600000,0.753019,0.700000,10.084406,6.000000,600.000000,40.000000,8.000000,7.000000,4.000000,0.563127,3.765301,1.000000,115.420768,0.002000,5.000000,0.100000,0.300000,82.249330,0.500000,1.000000,0.005000
10,61.328893,0.041403,0.104483,0.100000,0.020000,0.080000,0.200000,1.000000,0.867757,0.805110,9.563737,20.000000,200.000000,200.000000,8.000000,7.000000,4.000000,0.813000,1.500000,0.220873,20.000000,0.050000,5.000000,0.100000,1.902227,73.184186,5.000000,4.000000,0.100000
11,57.599867,0.005000,0.119464,0.058660,0.002000,0.010000,0.389829,0.851735,0.700000,0.702295,4.000000,20.000000,242.731021,44.486206,2.000000,2.241040,1.500000,0.300000,5.788297,0.000000,300.000000,0.046805,5.000000,0.100000,0.300000,71.048579,0.500000,4.000000,0.025831
12,57.653463,0.050000,0.250000,0.062122,0.019985,0.041354,0.666360,0.723814,0.700000,0.898258,4.000000,20.000000,600.000000,40.000000,8.000000,4.077411,4.000000,0.784452,1.500000,1.000000,300.000000,0.002000,4.702663,0.100000,2.000000,55.699661,0.500000,1.000000,0.100000
13,60.812183,0.032594,0.188142,0.020000,0.002000,0.055477,0.200000,0.600000,0.823802,0.772227,4.000000,6.000000,600.000000,200.000000,8.000000,2.165067,2.482930,0.900000,2.874269,0.702813,178.825132,0.002000,5.000000,0.743913,0.300000,100.000000,3.065031,1.082038,0.100000
14,60.470986,0.036607,0.226262,0.038657,0.007159,0.010000,0.434563,1.000000,0.950000,0.701855,4.000000,6.000000,566.743965,40.000000,3.175881,7.000000,1.500000,0.900000,1.500000,0.000000,269.399753,0.002000,2.915789,0.100000,0.300000,10.000000,0.500000,1.529569,0.100000
15,57.961739,0.050000,0.116232,0.062784,0.002000,0.010000,0.200000,1.000000,0.706113,0.757659,4.000000,6.000000,600.000000,62.401383,3.570387,6.164225,1.500000,0.300000,3.131317,0.959089,149.791369,0.050000,5.000000,1.691752,0.300000,10.000000,5.000000,2.051607,0.005000
16,60.529302,0.050000,0.250000,0.020000,0.004448,0.031258,0.431924,1.000000,0.950000,0.756050,10.930186,14.251148,549.635048,189.581412,8.000000,2.000000,1.500000,0.824167,6.000000,0.268293,233.937254,0.002000,0.500000,0.100000,0.556389,10.000000,0.500000,1.000000,0.100000
17,58.431962,0.050000,0.143761,0.100000,0.002000,0.044859,0.200000,0.971169,0.720562,0.950000,15.000000,6.864217,600.000000,153.956312,2.000000,4.936302,2.450455,0.559852,6.000000,1.000000,259.102474,0.008089,5.000000,2.000000,2.000000,10.000000,5.000000,1.935022,0.084420
18,57.686477,0.050000,0.250000,0.059823,0.002000,0.080000,0.800000,0.600000,0.785439,0.950000,11.665139,6.000000,471.651239,172.312716,2.000000,2.000000,4.000000,0.900000,3.015008,1.000000,20.000000,0.030438,2.251644,0.401911,2.000000,10.000000,0.500000,1.997238,0.054141
