eval,fitness,prey_base_cost,prey_move_cost,prey_forage_rate,pred_base_cost,pred_move_cost,pred_bite_reward,pred_transfer_eff,pred_digest_time,prey_repro_thresh,pred_repro_thresh,maturity_age,prey_cooldown,pred_cooldown,cooldown_jitter,parent_energy_split,child_energy,spawn_offset,heading_jitter,pred_density_k,newborn_hunt_cooldown,max_prey,max_pred,refugia_strength,part_spawn_rate,part_initial_mass,part_deposit_rate,part_pickup_rate,part_cell_capacity,part_flow_strength,part_flow_scale,part_flow_octaves,part_flow_evolution
1,55.505622,0.013567,0.050000,0.047756,0.008710,0.010000,0.619841,0.889166,3.000000,0.594259,0.950000,15.000000,4.118985,6.000000,0.000000,0.400000,0.500000,5.000000,0.400723,0.000000,0.500000,200.000000,40.000000,0.500000,20.000000,0.002000,5.000000,0.100000,2.000000,10.000000,1.011905,1.087774,0.005000
2,56.077611,0.006480,0.250000,0.075383,0.020000,0.059614,0.556911,0.600000,2.131354,0.950000,0.500000,7.305753,4.000000,7.162267,0.000000,0.400000,0.500000,5.000000,0.000000,0.000000,5.000000,200.000000,40.000000,1.069941,142.601952,0.002000,0.500000,3.000000,2.000000,15.827252,5.000000,1.000000,0.005000
3,55.335743,0.022408,0.050000,0.054427,0.019473,0.010000,0.646217,0.600000,2.374594,0.500000,0.583038,15.000000,10.973910,19.453313,3.000000,0.536096,0.200000,19.662754,0.945151,0.000000,5.000000,200.000000,40.000000,1.500000,20.000000,0.015839,1.490613,1.565914,0.431964,10.000000,3.303684,2.353381,0.127637
4,55.697992,0.026158,0.050000,0.060565,0.020000,0.010000,0.800000,1.000000,1.773972,0.500000,0.873657,5.041877,20.000000,9.655621,0.000000,0.557105,0.490299,30.000000,0.488078,0.000000,5.000000,200.000000,200.000000,0.500000,300.000000,0.037524,0.500000,3.000000,0.300000,100.000000,5.000000,1.000000,0.005000
5,57.908434,0.040107,0.097528,0.020000,0.002000,0.080000,0.550388,0.600000,0.200000,0.950000,0.500000,15.000000,19.136123,6.000000,0.000000,0.441544,0.433906,5.000000,1.000000,151.625439,0.500000,200.000000,200.000000,0.562971,20.000000,0.050000,0.500000,0.100000,0.300000,10.000000,0.500000,1.000000,0.005000
6,55.549398,0.005000,0.070648,0.097421,0.002000,0.080000,0.410051,0.777877,0.866471,0.500000,0.500000,8.346976,4.000000,6.638228,0.444890,0.609541,0.200000,30.000000,0.000000,110.723790,0.500000,200.000000,40.000000,1.220277,80.852888,0.002000,5.000000,0.100000,0.925386,10.000000,0.500000,1.000000,0.005000
7,59.814789,0.005000,0.050000,0.099163,0.020000,0.080000,0.768554,1.000000,0.279034,0.950000,0.950000,2.000000,20.000000,20.000000,0.000000,0.400000,0.200000,28.727283,1.000000,0.000000,0.734535,408.151071,200.000000,1.500000,75.231287,0.040525,1.139983,2.677444,2.000000,54.190038,0.500000,1.000000,0.017467
8,54.173293,0.029199,0.050000,0.087970,0.002000,0.034557,0.551586,1.000000,0.200000,0.500000,0.950000,15.000000,20.000000,11.521218,3.000000,0.700000,0.372624,5.000000,1.000000,0.000000,0.500000,600.000000,40.000000,0.500000,20.000000,0.002000,3.449531,3.000000,1.824166,44.003341,2.738436,4.000000,0.115873
9,55.686546,0.050000,0.106342,0.020000,0.004968,0.068041,0.400000,1.000000,0.200000,0.729727,0.950000,15.000000,6.186112,7.399461,0.000000,0.700000,0.200000,14.668561,0.000000,279.055493,2.654170,600.000000,176.132223,0.543608,300.000000,0.002772,5.000000,0.100000,0.306990,61.749503,0.500000,1.000000,0.056371
10,59.784669,0.050000,0.050000,0.020000,0.002000,0.033241,0.400000,0.849367,2.750950,0.812832,0.950000,2.512640,4.000000,12.875832,0.000000,0.700000,0.388911,30.000000,0.660667,0.000000,2.372886,600.000000,192.085385,1.485418,217.667000,0.002000,0.500000,0.100000,0.300000,100.000000,0.500000,1.335685,0.005000
11,55.929719,0.050000,0.050000,0.064994,0.020000,0.010000,0.400000,1.000000,0.200000,0.663605,0.950000,10.466532,10.999024,6.000000,3.000000,0.525215,0.500000,5.000000,0.000000,0.000000,0.500000,600.000000,55.100086,1.500000,111.276222,0.002000,0.500000,3.000000,1.152660,47.318355,5.000000,4.000000,0.124985
